participant,xai,wave,slope_type,outcome,slope
R_5L0xQQar3o8Bvr3,counterfactual,original_36,test_trial,confidence_gain,0.23255367022350493
R_5L0xQQar3o8Bvr3,counterfactual,original_36,test_trial,edit_l1,0.03764674156689747
R_5L0xQQar3o8Bvr3,counterfactual,original_36,test_trial,target_helpful_shap,0.14864142613040235
R_5L0xQQar3o8Bvr3,counterfactual,original_36,test_trial,cf_demo_cosine,0.2930053297963238
R_5L0xQQar3o8Bvr3,counterfactual,original_36,test_trial,attribution_feature_overlap,0.02781977818889884
R_5L0xQQar3o8Bvr3,counterfactual,original_36,test_trial,response_time,-2.13441720328271
R_5cuU4NG0z68t0DW,counterfactual,original_36,test_trial,boundary_new,-0.017156732319530778
R_5cuU4NG0z68t0DW,counterfactual,original_36,test_trial,boundary_improvement,0.07432950109597646
R_5cuU4NG0z68t0DW,counterfactual,original_36,test_trial,success,-0.06069769786668848
R_5cuU4NG0z68t0DW,counterfactual,original_36,test_trial,confidence_gain,-0.10485178092447356
R_5cuU4NG0z68t0DW,counterfactual,original_36,test_trial,edit_l1,0.08393481476448615
R_5cuU4NG0z68t0DW,counterfactual,original_36,test_trial,target_helpful_shap,0.039442829947890196
R_5cuU4NG0z68t0DW,counterfactual,original_36,test_trial,cf_demo_cosine,0.14449326237508717
R_5cuU4NG0z68t0DW,counterfactual,original_36,test_trial,attribution_feature_overlap,0.03071014475397922
R_5cuU4NG0z68t0DW,counterfactual,original_36,test_trial,response_time,0.5491754280984061
R_5faag2PFpaGyI6V,counterfactual,new_26,test_trial,boundary_new,0.00857667075405311
R_5faag2PFpaGyI6V,counterfactual,new_26,test_trial,boundary_improvement,0.039362396486776544
R_5faag2PFpaGyI6V,counterfactual,new_26,test_trial,success,0.11272429603813562
R_5faag2PFpaGyI6V,counterfactual,new_26,test_trial,confidence_gain,0.1325341933662083
R_5faag2PFpaGyI6V,counterfactual,new_26,test_trial,edit_l1,0.19692784963343732
R_5faag2PFpaGyI6V,counterfactual,new_26,test_trial,target_helpful_shap,0.10684733226459235
