context,outcome,comparison,n_a,n_b,mean_a,mean_b,difference,ci_low,ci_high,permutation_p,welch_p,hedges_g,beneficial_difference,q_within_context
original_wave,confidence_gain,counterfactual - none,15,11,0.4640222585913747,0.6123799779941485,-0.14835771940277376,-0.3201854792908304,0.014542818826494146,0.10175,0.1174417233925163,-0.6558080145980886,-0.14835771940277376,0.4592647058823529
original_wave,attribution_feature_overlap,counterfactual - none,15,11,0.3396111111111111,0.4093939393939394,-0.06978282828282834,-0.14898017676767678,0.012480176767676675,0.113,0.12170418852430417,-0.6280916575355545,-0.06978282828282834,0.4592647058823529
original_wave,cf_demo_feature_jaccard,counterfactual - none,15,11,0.3396111111111111,0.4093939393939394,-0.06978282828282834,-0.15176363636363643,0.013322601010101003,0.114,0.12170418852430417,-0.6280916575355545,-0.06978282828282834,0.4592647058823529
original_wave,edit_l1,attribution - none,10,11,0.47343541823003,0.6799977092349448,-0.20656229100491486,-0.4504279909957946,0.018761222311070608,0.12025,0.12234066526054078,-0.6665223356456317,0.20656229100491486,0.4592647058823529
original_wave,cf_demo_cosine,counterfactual - attribution,15,10,0.26207300898726704,0.4191400784941102,-0.15706706950684318,-0.34112764103054954,0.026707420113484915,0.1315,0.12378746515222702,-0.6091515504716247,-0.15706706950684318,0.4592647058823529
original_wave,success,counterfactual - none,15,11,0.4866666666666666,0.6272727272727273,-0.14060606060606073,-0.334878787878788,0.03940151515151514,0.16525,0.1726269143354699,-0.5649615556291209,-0.14060606060606073,0.4592647058823529
original_wave,boundary_improvement,attribution - none,10,11,0.00754154821,-0.02526427737318182,0.03280582558318182,-0.008220902505506819,0.08131428572437038,0.22025,0.193004676849992,0.5552300209324019,0.03280582558318182,0.4592647058823529
original_wave,boundary_new,attribution - none,10,11,0.115335997385,0.1481418229681818,-0.03280582558318179,-0.07980659343254883,0.007587160924548829,0.2255,0.1930046768499924,-0.5552300209324015,0.03280582558318179,0.4592647058823529
original_wave,attribution_feature_overlap,attribution - none,10,11,0.3525,0.4093939393939394,-0.05689393939393944,-0.1433721590909092,0.03076609848484844,0.23375,0.24368340705989117,-0.5028165516321177,-0.05689393939393944,0.4592647058823529
original_wave,cf_demo_feature_jaccard,attribution - none,10,11,0.3525,0.4093939393939394,-0.05689393939393944,-0.14128977272727272,0.039663825757575634,0.2405,0.24368340705989117,-0.5028165516321177,-0.05689393939393944,0.4592647058823529
original_wave,boundary_improvement,counterfactual - attribution,15,10,-0.019136686774666668,0.00754154821,-0.02667823498466667,-0.06404337786520833,0.005531831024041636,0.24075,0.15901349920971955,-0.4880986671395426,-0.02667823498466667,0.4592647058823529
original_wave,edit_l1,counterfactual - none,15,11,0.5138718995053736,0.6799977092349448,-0.16612580972957125,-0.41733175875232537,0.09078011639206339,0.243,0.24856406296541775,-0.4668380619630966,0.16612580972957125,0.4592647058823529
original_wave,boundary_new,counterfactual - attribution,15,10,0.14201423236966668,0.115335997385,0.026678234984666677,-0.0050962657120874775,0.062360169511241625,0.24575,0.1590134992097196,0.4880986671395427,-0.026678234984666677,0.4592647058823529
original_wave,confidence_gain,counterfactual - attribution,15,10,0.4640222585913747,0.5437753886103138,-0.07975313001893913,-0.1974468524147023,0.04003316484248028,0.26025,0.21057365131145683,-0.45869180842883545,-0.07975313001893913,0.4592647058823529
