participant,domain,xai,direction,case,instance,valid,margin_pp,boundary_progress_pp,change_l1,n_changed
R_3fTrP1eNSLr6OFA,housing,attribution,Expensive to Cheap,2,1751,0,-49.2049,-4.4547,1.000000,2
R_3fTrP1eNSLr6OFA,housing,attribution,Expensive to Cheap,3,553,0,-48.7246,-8.0265,0.666667,1
R_3fTrP1eNSLr6OFA,housing,attribution,Expensive to Cheap,4,172,1,36.8594,61.2026,1.333333,1
R_3fTrP1eNSLr6OFA,housing,attribution,Expensive to Cheap,5,2728,0,-4.9365,34.9007,0.666667,1
R_322vaHesZ9mABo8,housing,attribution,Expensive to Cheap,1,2447,0,-41.1921,-11.0133,0.666667,1
R_322vaHesZ9mABo8,housing,attribution,Expensive to Cheap,2,1751,0,-48.4656,-3.7154,0.666667,1
R_322vaHesZ9mABo8,housing,attribution,Expensive to Cheap,3,553,0,-49.6091,-8.9109,0.666667,1
R_322vaHesZ9mABo8,housing,attribution,Expensive to Cheap,4,172,1,22.9300,47.2732,0.666667,1
R_322vaHesZ9mABo8,housing,attribution,Expensive to Cheap,5,2728,0,-4.9365,34.9007,0.666667,1
R_322vaHesZ9mABo8,housing,attribution,Cheap to Expensive,1,3174,1,18.4960,27.9464,0.666667,1
R_322vaHesZ9mABo8,housing,attribution,Cheap to Expensive,2,2275,1,7.2289,8.5825,0.039773,1
R_322vaHesZ9mABo8,housing,attribution,Cheap to Expensive,3,675,0,-21.1324,22.3642,0.200000,1
R_322vaHesZ9mABo8,housing,attribution,Cheap to Expensive,4,102,0,-16.4951,5.9216,0.666667,1
R_322vaHesZ9mABo8,housing,attribution,Cheap to Expensive,5,577,0,-16.8392,-1.4954,0.666667,1
R_5fiJADPk00t6Se9,safelimit,counterfactual,Below Limit to Above Limit,1,98,0,-50.0000,-0.0000,1.404382,4
