participant,xai,model family,k,eta,alpha,rho,lambda,beta,age actionable,in-sample loss,in-sample selection_f1,in-sample amount_mae,in-sample direction_accuracy,in-sample selection_nll,5-fold CV loss,5-fold CV selection_f1,5-fold CV amount_mae,5-fold CV direction_accuracy,5-fold CV selection_nll,selected family by CV
R_5QGGlhAzSiOVePL,attribution,weighted examples,observed per instance,0.0,nan,0.5,0.0,0.0,0,0.29448739069027013,0.5942321420640183,0.18320692344455844,0.903228007436673,1.6879938905277736,0.2944873906902702,0.5942321420640182,0.1832069234445584,0.9032280074366732,1.6879938905277734,1
R_5a6S4hSnNMThfbj,counterfactual,feature contribution,observed per instance,0.0,1.0,0.5,nan,nan,0,0.316383710753718,0.5818985499686533,0.2146659714760893,1.0,0.9060008874494774,0.36520012450580763,0.4860166598456086,0.2164169088572238,1.0,1.3033964288593751,0
R_5a6S4hSnNMThfbj,counterfactual,weighted examples,observed per instance,1.0,nan,1.5,6.0,1.0,0,0.29686993441003795,0.5720359355795372,0.1657758043996131,1.0,0.8491798210882173,0.296869934410038,0.5720359355795372,0.1657758043996131,1.0,0.8491798210882173,1
R_5b2MBKWDgnmpE3f,none,feature contribution,observed per instance,0.0,1.0,1.0,nan,nan,0,0.3367588419629348,0.6588154054099935,0.33233308933586314,0.55,1.512450029165697,0.33675884196293476,0.6588154054099935,0.33233308933586303,0.55,1.5124500291656973,1
R_5b2MBKWDgnmpE3f,none,weighted examples,observed per instance,0.0,nan,1.0,0.0,0.0,0,0.3350168758721595,0.6407773469858489,0.3108110987301678,0.736323225294236,1.6860736745549005,0.3401463001113211,0.6407773469858489,0.3210699472084909,0.736323225294236,1.6860736745549005,0
R_5c5e5Qjh8Qn7MSE,attribution,feature contribution,observed per instance,1.0,0.5,1.0,nan,nan,0,0.27979807723315575,0.7423345683407492,0.3019307228070608,0.9766888368740748,0.7630717963803129,0.2872841102872643,0.737957965698623,0.3125261862731517,0.9766888368740748,0.7792300822376064,1
R_5c5e5Qjh8Qn7MSE,attribution,weighted examples,observed per instance,0.0,nan,1.0,0.0,0.0,0,0.26975696158563933,0.6946737821002931,0.2341877052715716,0.9427090492550911,1.0342874753208828,0.26975696158563933,0.6946737821002931,0.23418770527157157,0.9427090492550911,1.0342874753208828,0
R_5j6OULl151xAZzJ,attribution,feature contribution,observed per instance,0.0,0.0,0.5,nan,nan,0,0.32318339316805067,0.4693734667292193,0.11574025306532061,0.95,1.2554685888492334,0.32393383246462204,0.46782558459412604,0.11569324952337001,0.95,1.2710419397326225,1
R_5j6OULl151xAZzJ,attribution,weighted examples,observed per instance,0.0,nan,0.5,2.0,0.0,0,0.3358956458559243,0.4616767823564554,0.1334680740683039,0.65,1.3030294776361244,0.3394002383374876,0.45602523631445147,0.13482571298942675,0.65,1.3541190011054194,0
R_5kGrfdcFvaTZHov,attribution,feature contribution,observed per instance,1.0,0.0,1.5,nan,nan,1,0.27371996482738226,0.6748434231920596,0.22228335284682413,1.0,1.5780060017054898,0.27702125691342877,0.6696505951967943,0.22369310902365186,1.0,1.6157149607480725,1
